estimate,lower,upper,des_effect,se,n,age,var,survey_id,kp,survey_id2,sex,iso3,year,totpop,genpop_estimate,ageratio
0.0504829574554071,0.0396696597643743,0.0612962551464399,0.22605940546345,0.00551708999569722,9,18,age1,BEN2017BBS,MSM,BEN2017BBS_MSM,male,BEN,2017,116669.2188,0.020586253910069185,2.452265364837203
0.0989288245630307,0.0590573605017868,0.138800288624275,1.6527084054866,0.0203429575113344,27,19,age1,BEN2017BBS,MSM,BEN2017BBS_MSM,male,BEN,2017,113349.1563,0.020000429728461663,4.946334949106108
0.0905135971627451,0.0837725056397391,0.0972546886857511,0.051156900981181,0.00343939560939835,27,20,age1,BEN2017BBS,MSM,BEN2017BBS_MSM,male,BEN,2017,110111.5781,0.01942915988055809,4.658646988299175
0.0443591623096074,0.00931603623867879,0.0794022883805361,2.68461159461671,0.017879474494095,19,21,age1,BEN2017BBS,MSM,BEN2017BBS_MSM,male,BEN,2017,106914.1484,0.018864974225242838,2.35140328208089
0.0945392044643616,0.0369033721958417,0.152175036732882,3.59631197424289,0.0294065772244511,26,22,age1,BEN2017BBS,MSM,BEN2017BBS_MSM,male,BEN,2017,103605.5625,0.018281175086779122,5.171396478376929
0.073127249627305,0.0293432772508045,0.116911222003806,2.62110720558834,0.0223391719041079,25,23,age1,BEN2017BBS,MSM,BEN2017BBS_MSM,male,BEN,2017,100095.6719,0.017661855785327134,4.140405771405779
0.0983874491035248,0.0476058493578886,0.149169048849161,2.69405788439272,0.0259094555543852,34,24,age1,BEN2017BBS,MSM,BEN2017BBS_MSM,male,BEN,2017,96353.41406,0.017001535343623902,5.786974359372968
0.0910052488839504,0.041132640432116,0.140877857335785,2.78644301353329,0.0254456759640601,31,25,age1,BEN2017BBS,MSM,BEN2017BBS_MSM,male,BEN,2017,92539.23438,0.016328524311590605,5.573390904611719
0.0602666460966348,0.0196110485050982,0.100922243688171,2.7046610664091,0.0207430329905155,19,26,age1,BEN2017BBS,MSM,BEN2017BBS_MSM,male,BEN,2017,88814.39062,0.0156712765798633,3.8456756084615344
0.0611432024577601,0.026287373365108,0.0959990315504122,1.96135909707902,0.0177839130553369,20,27,age1,BEN2017BBS,MSM,BEN2017BBS_MSM,male,BEN,2017,85320.65625,0.015054808041075453,4.061373767831336
0.0427702833997199,0.014443848268055,0.0710967185313848,1.81626560983703,0.0144525283908787,16,28,age1,BEN2017BBS,MSM,BEN2017BBS_MSM,male,BEN,2017,82085.75,0.014484009658068111,2.952931157146483
0.0288571368527631,0.0113272033236817,0.0463870703818444,1.01619719683232,0.00894400798553199,15,29,age1,BEN2017BBS,MSM,BEN2017BBS_MSM,male,BEN,2017,78971.46875,0.013934495525554973,2.0709136401702493
0.0141297778356969,-0.0245544297930521,0.052813985464446,9.95557032669422,0.0197372033026551,9,30,age1,BEN2017BBS,MSM,BEN2017BBS_MSM,male,BEN,2017,75977.95312,0.013406290455899183,1.0539662617468772
0.031765357158266,8.27838748730127e-4,0.0627028755678019,2.88396778753051,0.0157847382163994,7,31,age1,BEN2017BBS,MSM,BEN2017BBS_MSM,male,BEN,2017,73107.46094,0.01289979284262856,2.4624703315617933
0.018720188281973,0.00659577963518142,0.0308445969287647,0.741603670614193,0.00618603644884672,14,32,age1,BEN2017BBS,MSM,BEN2017BBS_MSM,male,BEN,2017,70417.28125,0.012425111322244099,1.506641493703088
0.0133672292109367,0.00237898782090992,0.0243554706009636,0.848424629393669,0.00560634862512815,8,33,age1,BEN2017BBS,MSM,BEN2017BBS_MSM,male,BEN,2017,67851.64844,0.01197240606707988,1.116503160354051
0.00979471153958603,0.00810225091260082,0.0114871721665712,0.0273699543140012,8.6351618720299e-4,5,34,age1,BEN2017BBS,MSM,BEN2017BBS_MSM,male,BEN,2017,65253.78516,0.01151401375370197,0.8506774222357383
0.014680966992671,-0.0231398383532465,0.0525017723385886,9.16397353798741,0.019296683839215,9,35,age1,BEN2017BBS,MSM,BEN2017BBS_MSM,male,BEN,2017,62668.85547,0.011057903568981883,1.3276446933261417
0.00460597178880801,-7.9154798674819e-4,0.0100034915643642,0.588878903127951,0.00275388722350571,4,36,age1,BEN2017BBS,MSM,BEN2017BBS_MSM,male,BEN,2017,60165.60547,0.010616205744736396,0.43386233269750724
0.0126650226598653,-0.0124835139968705,0.0378135593166011,4.68714901528506,0.0128311218242296,6,37,age1,BEN2017BBS,MSM,BEN2017BBS_MSM,male,BEN,2017,57808.03125,0.010200212374728904,1.2416430359080541
0.00553541200168938,0.0010567764244432,0.0100140475789356,0.337680508728259,0.00228506014017251,4,38,age1,BEN2017BBS,MSM,BEN2017BBS_MSM,male,BEN,2017,55626.55859,0.009815292080082739,0.563957950158394
0.00323608701637225,-0.0288023975465504,0.0352745715792949,29.4907114397559,0.0163464659634759,2,40,age1,BEN2017BBS,MSM,BEN2017BBS_MSM,male,BEN,2017,51586.72266,0.009102464060272594,0.35551769223633034
0.0053139955216218,-0.0339674173228279,0.0445954083660715,27.0533358520243,0.0200419054402512,3,42,age1,BEN2017BBS,MSM,BEN2017BBS_MSM,male,BEN,2017,47672.44141,0.00841179013173573,0.6317318238329946
0.00309983072094605,-0.0051668762714521,0.0113665377133442,2.0494119179312,0.00421778515197467,2,43,age1,BEN2017BBS,MSM,BEN2017BBS_MSM,male,BEN,2017,45828.48047,0.008086423694028086,0.38333765805955844
0.00332124720101363,-0.0113651781892736,0.0180076725913009,6.0385076539553,0.00749321186824446,2,44,age1,BEN2017BBS,MSM,BEN2017BBS_MSM,male,BEN,2017,44103.92969,0.007782127148606389,0.42677884048815545
